Trtsize,Nsites,Detprob,Nplots,logitTrt,aInt.m,aInt.se,aInt.sd,aInt.cover,bTrtYr.m,bTrtYr.se,bTrtYr.sd,bTrtYr.cover,bTrtYr.power,n,aInt.m.se,bTrtYr.m.se
0.6,20,0.5,7,-0.441832752,0.949818816,0.502838732,0.5514058,0.962,-0.491746216,0.649359011,0.697235431,0.968,0.104,500,0.022487632,0.029040218
0.6,20,0.5,9,-0.441832752,0.952213067,0.455354716,0.508773228,0.966,-0.527795643,0.576296269,0.60890712,0.958,0.124,500,0.020364082,0.025772753
0.6,30,0.15,5,-0.441832752,1.684476419,0.764264486,1.135273715,0.94972067,-0.306895323,0.830045049,1.488429222,1,0.011173184,358,0.040392633,0.043869244
0.6,30,0.15,7,-0.441832752,1.669301456,0.743217302,1.050341339,0.951219512,-0.429859532,0.877410684,1.355580042,0.987804878,0.012195122,328,0.04103731,0.0484469
0.6,30,0.15,9,-0.441832752,1.543221321,0.752365318,0.964278797,0.945945946,-0.481598612,0.803982874,1.224029055,0.986486486,0.030405405,296,0.043730346,0.046730555
0.6,30,0.3,5,-0.441832752,1.330443241,0.677285839,0.804746889,0.952069717,-0.581633049,0.791197658,1.054753662,0.973856209,0.058823529,459,0.031612996,0.036929944
0.6,30,0.3,7,-0.441832752,1.187722138,0.572452533,0.67926406,0.962264151,-0.522949783,0.71016101,0.861822464,0.970649895,0.05870021,477,0.026210801,0.032516039
0.6,30,0.3,9,-0.441832752,1.159158281,0.514932401,0.615283623,0.958847737,-0.546673086,0.676632814,0.75167453,0.967078189,0.090534979,486,0.023357808,0.030692688
0.6,30,0.5,5,-0.441832752,0.983913679,0.452189182,0.494297066,0.964,-0.47037472,0.646415141,0.66983677,0.95,0.106,500,0.020222515,0.028908564
0.6,30,0.5,7,-0.441832752,0.940167441,0.386353718,0.434543262,0.97,-0.469238653,0.53049253,0.557293726,0.968,0.12,500,0.017278264,0.023724347
0.6,30,0.5,9,-0.441832752,0.930580259,0.379650499,0.401302707,0.954,-0.465946498,0.473722182,0.49115189,0.96,0.152,500,0.016978486,0.0211855
0.6,40,0.15,5,-0.441832752,1.759050959,0.710448025,1.071905698,0.940397351,-0.407038554,0.798524336,1.399232384,1,0.009933775,302,0.04088169,0.045949912
0.6,40,0.15,7,-0.441832752,1.677287817,0.660702572,0.982949586,0.938983051,-0.507556547,0.78316346,1.220826933,0.993220339,0.020338983,295,0.038467591,0.04559754
0.6,40,0.15,9,-0.441832752,1.595365765,0.771804746,0.894606802,0.875,-0.537631916,0.808112595,1.088395514,0.982638889,0.045138889,288,0.045479031,0.047618491
0.6,40,0.3,5,-0.441832752,1.302198913,0.606776809,0.707088053,0.932608696,-0.524736528,0.753833946,0.912482902,0.976086957,0.056521739,460,0.028291115,0.035147689
0.6,40,0.3,7,-0.441832752,1.142923381,0.540444556,0.586503095,0.937759336,-0.515950851,0.658929412,0.737888158,0.966804979,0.101659751,482,0.024616575,0.030013412
0.6,40,0.3,9,-0.441832752,1.098057858,0.473221729,0.519067208,0.950515464,-0.477335886,0.613407224,0.632172798,0.964948454,0.125773196,485,0.021487892,0.027853387
0.6,40,0.5,5,-0.441832752,0.946439361,0.387804039,0.423271741,0.966,-0.503859766,0.566906297,0.577458627,0.94,0.15,500,0.017343124,0.02535282
0.6,40,0.5,7,-0.441832752,0.901666978,0.331897329,0.364074153,0.97,-0.476657099,0.47217507,0.4771597,0.956,0.172,500,0.0148429,0.021116311
0.6,40,0.5,9,-0.441832752,0.88486421,0.328948839,0.340941932,0.958,-0.45629739,0.42358307,0.420047973,0.944,0.192,500,0.014711039,0.018943211
0.6,50,0.15,5,-0.441832752,1.67067548,0.723341789,1.009845282,0.930909091,-0.405729355,0.849244338,1.285888714,0.985454545,0.007272727,275,0.043619151,0.05121136
0.6,50,0.15,7,-0.441832752,1.614953975,0.708102999,0.91075785,0.920415225,-0.605861471,0.786479703,1.126176287,0.98615917,0.041522491,289,0.041653118,0.046263512
0.6,50,0.15,9,-0.441832752,1.481725748,0.754392331,0.826459544,0.900735294,-0.643871783,0.776128122,0.979684246,0.970588235,0.073529412,272,0.045741754,0.04705968
0.6,50,0.3,5,-0.441832752,1.218672914,0.57250577,0.627108973,0.932166302,-0.565054434,0.647109139,0.797390993,0.962800875,0.070021882,457,0.02678069,0.030270489
0.6,50,0.3,7,-0.441832752,1.090383904,0.48478769,0.513718878,0.944672131,-0.451030719,0.575124867,0.648504786,0.961065574,0.079918033,488,0.021945308,0.026034679
0.6,50,0.3,9,-0.441832752,1.038933448,0.442957905,0.454604277,0.935091278,-0.526799505,0.525563093,0.557836005,0.955375254,0.156186613,493,0.019949821,0.023670171
0.6,50,0.5,5,-0.441832752,0.908645057,0.342734912,0.368689821,0.96,-0.454606513,0.469517724,0.50825416,0.97,0.122,500,0.015327571,0.020997471
0.6,50,0.5,7,-0.441832752,0.891538789,0.312735813,0.326023622,0.954,-0.474997123,0.423396528,0.428299861,0.948,0.21,500,0.013985971,0.018934868
0.6,50,0.5,9,-0.441832752,0.888880155,0.297623925,0.303077166,0.954,-0.448667554,0.370057327,0.375169169,0.958,0.228,500,0.013310147,0.016549467
0.6,60,0.15,5,-0.441832752,1.67153303,0.798429813,0.961773864,0.889380531,-0.524091432,0.843002449,1.227757342,0.982300885,0.03539823,226,0.053110761,0.056075689
0.6,60,0.15,7,-0.441832752,1.603268629,0.719129388,0.8647492,0.871485944,-0.640141896,0.763944864,1.049101515,0.979919679,0.068273092,249,0.045572973,0.048413039
0.6,60,0.15,9,-0.441832752,1.41118278,0.733466567,0.774092861,0.887550201,-0.663754372,0.718970888,0.900551056,0.951807229,0.100401606,249,0.046481555,0.045562929
0.6,60,0.3,5,-0.441832752,1.230203487,0.536920209,0.57926483,0.917894737,-0.529669331,0.612133835,0.739085164,0.972631579,0.084210526,475,0.024635589,0.028086627
0.6,60,0.3,7,-0.441832752,1.064932865,0.445017089,0.458000746,0.936863544,-0.496317854,0.550306884,0.57890917,0.953156823,0.138492872,491,0.02008334,0.024835002
0.6,60,0.3,9,-0.441832752,1.007450756,0.397379674,0.402899677,0.942973523,-0.464888835,0.485964158,0.497809255,0.945010183,0.146639511,491,0.017933494,0.021931255
0.6,60,0.5,5,-0.441832752,0.924229119,0.323903649,0.334889839,0.946,-0.482987563,0.40977117,0.465486049,0.964,0.16,500,0.014485412,0.018325524
0.6,60,0.5,7,-0.441832752,0.905351165,0.285177972,0.296325886,0.948,-0.458962029,0.365351751,0.391150612,0.95,0.184,500,0.012753547,0.016339027
0.6,60,0.5,9,-0.441832752,0.868707515,0.264465368,0.275006383,0.962,-0.4587992,0.333290106,0.342144777,0.952,0.272,500,0.011827251,0.014905187
