"site_id","trt","dwd_count","stumps","logs","size_cl","decay_cl","char_cl","length_cl","dwd_dens","log_dens","stump_dens","avg_volume"
"33689 _ 1 _ 2023","HU",37,29,8,1.5,2.2,1.2,0.5,0.07,0.01,0.05,"0.8515434"
"33689 _ 1 _ 2024","HU",55,43,12,1.3,1.1,1,0.4,0.1,0.02,0.08,"0.7623972"
"33754 _ 1 _ 2023","HU",33,18,15,1.3,2.4,1.2,1,0.06,0.03,0.03,"0.9009288"
"33810 _ 1 _ 2023","HU",67,38,29,1.2,2.1,1.4,0.9,0.12,0.05,0.07,"1.6792619"
"33810 _ 1 _ 2024","HU",47,39,8,1.3,1.5,1,0.3,0.08,0.01,0.07,"0.8046825"
"34007 _ 1 _ 2023","HB",52,40,12,1.4,2.6,3,0.5,0.09,0.02,0.07,"0.9378496"
"34007 _ 1 _ 2024","HB",50,36,14,1.2,2,2.5,0.6,0.09,0.02,0.06,"1.0610764"
"34017 _ 1 _ 2023","HU",36,16,20,1.2,1.9,1,1.3,0.06,0.04,0.03,"1.0604453"
"34017 _ 1 _ 2024","HU",22,16,6,1.5,1.5,1,0.4,0.04,0.01,0.03,"0.3527981"
"408143 _ 1 _ 2023","HU",46,18,28,1.3,2.7,1.3,1.2,0.08,0.05,0.03,"1.4607354"
"408143 _ 1 _ 2024","HU",40,28,12,1.3,1.5,1.2,0.6,0.07,0.02,0.05,"1.0598142"
"408161 _ 1 _ 2023","HU",38,20,18,1.3,1.9,1.1,1.1,0.07,0.03,0.04,"1.1898256"
"408162 _ 1 _ 2023","HU",43,31,12,1.2,2,1,0.6,0.08,0.02,0.05,"0.6778267"
"408162 _ 1 _ 2024","HU",61,36,25,1.4,1.6,1,1,0.11,0.04,0.06,"2.0391601"
"408178 _ 1 _ 2023","BS",44,20,24,1.3,2.6,2.6,1.2,0.08,0.04,0.04,"1.8650752"
"408178 _ 1 _ 2024","BS",37,26,11,1.5,1.9,2.4,0.7,0.07,0.02,0.05,"1.2764473"
"408178 _ 2 _ 2023","HB",35,27,8,1.4,2.6,3,0.5,0.06,0.01,0.05,"1.1409136"
"408178 _ 2 _ 2024","HB",46,21,25,1.4,2,2.5,0.8,0.08,0.04,0.04,"1.0423005"
"408180 _ 1 _ 2023","HB",47,27,20,1.4,2.4,3,1.1,0.08,0.04,0.05,"1.7213894"
"408180 _ 1 _ 2024","HB",49,38,11,1.4,2,2.7,0.3,0.09,0.02,0.07,"0.7218475"
"9757 _ 1 _ 2023","BU",35,14,21,1.3,2.3,2.6,1.6,0.06,0.04,0.02,"1.4940272"
"9757 _ 1 _ 2024","BU",30,5,25,1.4,2.1,2.2,1.9,0.05,0.04,0.01,"1.7404809"
