"Trtsize","Nsites","Detprob","Nplots","logitTrt","aInt.m","aInt.se","aInt.sd","aInt.cover","aTrtYr.m","aTrtYr.se","aTrtYr.sd","aTrtYr.cover","bInt.m","n"
0.6,20,0.3,5,-2.53897387105828,3.31427793813767,0.821941166870897,1.47645649086074,1,-1.48711914657354,1.40407022510293,2.25777082607611,0.992,0.1648092027958,500
0.6,20,0.3,7,-2.53897387105828,3.42098860946328,0.832986877935365,1.35391840644749,0.998,-2.00201854878726,1.32382755309946,2.00490765269041,0.998,0.105978784447323,500
0.6,20,0.3,9,-2.53897387105828,3.29536480650543,0.829931541996616,1.21767097053257,0.996,-2.33923657746888,1.14506674571971,1.7637747954037,0.998,0.0890097280112788,500
0.6,20,0.5,5,-2.53897387105828,3.40097801908598,0.815710940645763,1.33578095599885,0.992,-2.17676751792586,1.26656380410992,1.94776453180987,0.998,0.0141757229774583,500
0.6,20,0.5,7,-2.53897387105828,3.25881118260682,0.819447945035974,1.17828018447993,0.992,-2.34797616179027,1.15505544999666,1.70014665551226,0.996,0.0154263916071825,500
0.6,20,0.5,9,-2.53897387105828,3.33825592446842,0.856505057161894,1.13773130676223,0.998,-2.48542479016711,1.07463981111874,1.62206031932698,0.994,0.0105194516403349,500
0.6,30,0.15,5,-2.53897387105828,3.26482471446538,0.834237100388634,1.6156163830567,0.998,-1.1351804520867,1.39497965235967,2.44106805552616,0.998,0.354288392181038,500
0.6,30,0.15,7,-2.53897387105828,3.36639844735355,0.802149017458112,1.48847234792747,0.996,-1.53778820571022,1.34783645427453,2.25084001661172,0.998,0.278379028350317,500
0.6,30,0.15,9,-2.53897387105828,3.40649514184115,0.796029990521742,1.37771455142068,1,-1.98592859276766,1.29976750047578,2.04402869787181,0.996,0.243270525830169,500
0.6,30,0.3,5,-2.53897387105828,3.43996747242504,0.767683395449686,1.36899497726268,0.996,-2.05242769550739,1.23007726558554,2.0288593663184,1,0.0931982092224677,500
