"site_id","trt","dwd_count","stumps","logs","size_cl","decay_cl","char_cl","length_cl","dwd_dens","log_dens","stump_dens","avg_volume","avg_count"
"12776 _ 1 _ 2024","BU",18,9,9,1.3,1.9,2.6,1,0.03,0.02,0.02,0.7151418,2.57142857142857
"12804 _ 1 _ 2023","BU",26,3,23,1.1,2.4,2.7,1.7,0.05,0.04,0.01,0.9660923,3.71428571428571
"12804 _ 1 _ 2024","BU",34,6,28,1.3,2.1,2.2,1.9,0.06,0.05,0.01,1.967212,4.85714285714286
"12805 _ 1 _ 2023","BU",42,16,26,1.6,2.7,3,1.4,0.07,0.05,0.03,2.3555108,6
"12805 _ 1 _ 2024","BU",47,22,25,1.3,1.9,2.6,1,0.08,0.04,0.04,1.1543249,6.71428571428571
"12806 _ 1 _ 2024","BU",28,10,18,1.3,2,2.3,1.5,0.05,0.03,0.02,1.1936124,4
"13924 _ 1 _ 2023","UU",39,6,33,1.2,2.5,1,2.2,0.07,0.06,0.01,2.6370971,5.57142857142857
"13924 _ 1 _ 2024","UU",21,5,16,1.4,2.4,1,1.8,0.04,0.03,0.01,1.3958612,3
"15562 _ 1 _ 2023","BU",17,6,11,1.3,2.6,2.6,1.8,0.03,0.02,0.01,0.7866955,2.42857142857143
"15562 _ 1 _ 2024","BU",22,6,16,1.5,1.8,2,1.8,0.04,0.03,0.01,1.4126122,3.14285714285714
"16804 _ 1 _ 2023","BU",13,4,9,1.3,2.5,2.6,1.5,0.02,0.02,0.01,1.0641532,1.85714285714286
"20039 _ 1 _ 2023","HU",53,24,29,1.3,2,1,1.1,0.09,0.05,0.04,1.5839623,7.57142857142857
"20039 _ 1 _ 2024","HU",80,53,27,1.3,1.7,1,0.5,0.14,0.05,0.09,1.1896678,11.4285714285714
"20053 _ 1 _ 2023","HU",35,25,10,1.6,2.1,1,0.6,0.06,0.02,0.04,0.8780506,5
"20053 _ 1 _ 2024","HU",51,31,20,1.3,1.7,1,0.6,0.09,0.04,0.05,0.9998574,7.28571428571429
"20550 _ 1 _ 2023","HU",45,30,15,1.4,1.8,1,0.5,0.08,0.03,0.05,0.9056623,6.42857142857143
