OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,OBJECTID,DISTRICT,STAND_ESTA,OFCLWCO__1,SETTING_NU,OUNAME,LEGAL_DESC,UNIT_NUMBE,Lat,Long,UTMX,UTMY
"71","1","70","0","70",0.00000000000,Snowpeak,"64","29431",,,11S-01E-3,,44.64815092420,-122.67243296900,"525975","4943918"
"72","1","71","0","71",0.00000000000,Snowpeak,"64","29429",,,11S-01E-3,,44.63902731150,-122.67286661200,"525944","4942904"
"73","1","72","0","72",0.00000000000,Snowpeak,"64","29889",,,11S-01E-3,,44.63689521220,-122.66855616000,"526287","4942669"
"74","1","73","0","73",0.00000000000,Snowpeak,"74","25954",,,09S-02E-13,,44.79252520090,-122.51618214200,"538270","4960017"
"75","1","74","0","74",0.00000000000,Snowpeak,"67","20053",K8205,,12S-02E-04,,44.54989961550,-122.56210561200,"534782","4933045"
"76","1","75","0","75",0.00000000000,Snowpeak,"53","20194",K8131,,11S-02E-13,,44.60927956640,-122.51726771800,"538304","4939661"
"77","1","76","0","76",0.00000000000,Snowpeak,"85","20497",K3210,,11S-01E-34,,44.57008046110,-122.66404548100,"526676","4935248"
"78","1","77","0","77",0.00000000000,Snowpeak,"54","20626",K2203,,10S-02E-16,,44.70133056750,-122.56312609300,"534611","4949866"
"79","1","78","0","78",0.00000000000,Clackamas,"66","10153",,,05S-04E-20,,45.11555083190,-122.34027444500,"551892","4995998"
"80","1","79","0","79",0.00000000000,Snowpeak,"62","20039",K3201,H-531,12S-02E-08,,44.53049100480,-122.58754126800,"532772","4930879"
"81","1","80","0","80",0.00000000000,Clackamas,"134","10439",,,05S-04E-17,,45.14261813070,-122.35244708200,"550910","4998998"
"82","1","81","0","81",0.00000000000,Clackamas,"100","16804",,,07S-03E-05,,44.99509378780,-122.47866778000,"541092","4982538"
"83","1","82","0","82",0.00000000000,Clackamas,"97","9757",,,04S-04E-23,,45.21443698150,-122.27207771900,"557157","5007030"
"84","1","83","0","83",0.00000000000,Clackamaas,"104","12239",,,06S-02E-05,,45.07917076570,-122.58247393400,"532862","4991830"
"85","1","84","0","84",0.00000000000,Clackamas,"84","12213",,,06S-02E-05,,45.07886336550,-122.59164053400,"532141","4991792"
"86","1","85","0","85",0.00000000000,Clackamas,"84","13924",,,06S-02E-19,,45.03033734630,-122.61393424600,"530412","4986393"
"87","1","86","0","86",0.00000000000,Clackamas,"74","15562",,,06S-02E-29,,45.00902759130,-122.56758193500,"534076","4984044"
"88","1","87","0","87",0.00000000000,Clackamas,"150","10302",,,05S-04E-09,,45.14708733380,-122.32057842900,"553412","4999515"
