OBJECTID_1,Join_Count,TARGET_FID,CID,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Long,Lat
"68","1","68","67",0.00000000000,"0",Snowpeak,"0","55","29121",,"0",,10S-01E-33,,"55",0.00000000000,524040.00000000000,4945400.00000000000,53.54310000000,BLM,,"1","0","0","1","0","0","0","0","-122.696811644165","44.6637064895585"
"69","1","69","68",0.00000000000,"0",Snowpeak,"0","55","29122",,"0",,10S-01E-33,,"55",0.00000000000,524885.00000000000,4944480.00000000000,47.30290000000,BLM,,"0","0","0","1","0","0","0","0","-122.68771957554","44.6525914677158"
"70","1","70","69",0.00000000000,"0",Snowpeak,"0","55","29123",,"0",,10S-01E-33,,"55",0.00000000000,523871.00000000000,4944340.00000000000,49.66970000000,BLM,,"0","0","0","1","0","0","0","0","-122.701409282054","44.6526798796024"
"71","1","71","70",0.00000000000,"0",Snowpeak,"0","64","29431",,"0",,11S-01E-3,,"64",0.00000000000,525961.00000000000,4943790.00000000000,48.85240000000,BLM,,"0","0","0","1","0","0","0","0","-122.670314870629","44.6460162358052"
"72","1","72","71",0.00000000000,"0",Snowpeak,"0","64","29429",,"0",,11S-01E-3,,"64",0.00000000000,525790.00000000000,4942920.00000000000,41.38230000000,BLM,,"0","0","0","1","0","0","0","0","-122.676926203608","44.640112395224"
"73","1","73","72",0.00000000000,"0",Snowpeak,"0","64","29889",,"0",,11S-01E-3,,"64",0.00000000000,526554.00000000000,4942640.00000000000,39.77890000000,BLM,,"0","0","0","1","0","0","0","0","-122.665610288042","44.6370801809229"
"74","1","74","73",0.00000000000,"0",Snowpeak,"0","74","25954",,"0",,09S-02E-13,,"74",0.00000000000,538282.00000000000,4960060.00000000000,41.87900000000,BLM,,"0","0","0","1","0","0","0","0","-122.513706047445","44.793958858489"
"75","1","75","74",0.00000000000,"2018",Snowpeak,"2450","67","20053",K8205,"120",,12S-02E-04,,"67",0.00000000000,534331.00000000000,4932990.00000000000,104.31000000000,WY,,"1","0","0","1","0","0","0","0","-122.573541795161","44.547915404182"
"76","1","76","75",0.00000000000,"2016",Snowpeak,"2450","53","20194",K8131,"119",,11S-02E-13,,"53",0.00000000000,538393.00000000000,4939770.00000000000,99.64460000000,WY,,"1","0","0","1","0","0","0","0","-122.519244161243","44.6089939393074"
"77","1","77","76",0.00000000000,"2015",Snowpeak,"1150","85","20497",K3210,"130",,11S-01E-34,,"85",0.00000000000,526233.00000000000,4935370.00000000000,71.08040000000,WY,,"0","0","0","1","0","0","0","0","-122.667143529702","44.5703428000285"
"78","1","78","77",0.00000000000,"2018",Snowpeak,"1450","54","20626",K2203,"124",,10S-02E-16,,"54",0.00000000000,534524.00000000000,4949650.00000000000,118.44900000000,WY,,"1","0","0","1","0","0","0","0","-122.568562570021","44.7017123903833"
"79","1","79","78",0.00000000000,"2020",Clackamas,"2600","66","10153",,"100",,05S-04E-20,,"66",0.00000000000,551576.00000000000,4996170.00000000000,88.36020000000,WY,,"1","0","0","1","0","0","0","0","-122.343265065005","45.1166596524731"
"80","1","80","79",0.00000000000,"209",Snowpeak,"2900","62","20039",K3201,"94",H-531,12S-02E-08,,"62",0.00000000000,533006.00000000000,4930880.00000000000,92.79750000000,WY,,"1","0","0","1","0","0","0","0","-122.589087285129","44.5319511140936"
"81","1","81","80",0.00000000000,"0",Clackamas,"2500","134","10439",,"0",,05S-04E-17,,"134",0.00000000000,550980.00000000000,4998670.00000000000,57.69710000000,BLM,,"0","0","0","1","0","0","0","0","-122.351810406415","45.14167303057"
"82","1","82","81",0.00000000000,"0",Clackamas,"1500","100","16804",,"0",,07S-03E-05,,"100",0.00000000000,541176.00000000000,4982530.00000000000,27.74180000000,BLM,,"0","0","0","1","0","0","0","0","-122.478599056298","44.995895605774"
"83","1","83","82",0.00000000000,"0",Clackamas,"1400","97","9757",,"0",,04S-04E-23,,"97",0.00000000000,556967.00000000000,5006880.00000000000,71.35610000000,BLM,,"0","0","0","1","0","0","0","0","-122.277782612533","45.2137617890596"
"84","1","84","83",0.00000000000,"0",Clackamaas,"800","104","12239",,"0",,06S-02E-05,,"104",0.00000000000,532889.00000000000,4991870.00000000000,47.74080000000,BLM,,"0","0","0","1","0","0","0","0","-122.583697268122","45.0809350040046"
"85","1","85","84",0.00000000000,"0",Clackamas,"800","84","12213",,"0",,06S-02E-05,,"84",0.00000000000,532072.00000000000,4991920.00000000000,39.44330000000,BLM,,"0","0","0","1","0","0","0","0","-122.590822894567","45.0816269118506"
"86","1","86","85",0.00000000000,"0",Clackamas,"800","74","12662",,"0",,06S-02E-07,,"74",0.00000000000,531243.00000000000,4990520.00000000000,78.43690000000,BLM,,"0","0","0","1","0","0","0","0","-122.604961259587","45.0644452207579"
"87","1","87","86",0.00000000000,"0",Clackamas,"900","84","13924",,"0",,06S-02E-19,,"84",0.00000000000,530550.00000000000,4986750.00000000000,191.03900000000,BLM,,"0","0","0","1","0","0","0","0","-122.614369086148","45.0409794386829"
"88","1","88","87",0.00000000000,"0",Clackamas,"1000","74","15562",,"0",,06S-02E-29,,"74",0.00000000000,534103.00000000000,4983470.00000000000,319.62300000000,BLM,,"0","0","0","1","0","0","0","0","-122.572711435709","45.0033059462669"
