OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,Long,Lat,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,FRSTBL_ACR,GROSS_AREA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page
"11","1","10","0","10",-122.67366195600,44.60508258170,3043.00000000000,"0",Snowpeak,"1000","63",86.13280000000,89.58600000000,"20571",,"132",,11S-01E-22,,,0.00000000000,525643.00000000000,4938850.00000000000,89.58630000000,WY,
"12","1","11","0","11",-122.59922040700,44.59451615580,29853.00000000000,"0",Snowpeak,"1500","69",42.39660000000,43.40450000000,"20283",,"123",,11S-02E-20,,,0.00000000000,531827.00000000000,4937880.00000000000,43.40470000000,WY,
"13","1","12","0","12",-122.68112012500,44.53581581350,24964.00000000000,"0",Snowpeak,"1150","84",93.26250000000,93.55330000000,"20360",,"129",,12S-01E-09,,,0.00000000000,525162.00000000000,4931830.00000000000,93.55370000000,WY,
"14","1","13","0","13",-122.69223977200,44.53719706660,14815.00000000000,"2016",Snowpeak,"1000","69",77.74290000000,80.37450000000,"20361",K6211,"133",,12S-01E-09,,,0.00000000000,524787.00000000000,4931470.00000000000,80.37490000000,WY,
"15","1","14","0","14",-122.54862347800,44.56222628470,9154.00000000000,"2013",Snowpeak,"1950","67",99.21010000000,100.64610000000,"20088",K2210,"122",,11S-02E-34,,,0.00000000000,535725.00000000000,4934410.00000000000,100.64600000000,WY,
"16","1","15","0","15",-122.60304753200,44.67291148070,16244.00000000000,"2014",Snowpeak,"2350","53",51.90410000000,53.66440000000,"20698",K3217,"120",,10S-02E-30,,,0.00000000000,531412.00000000000,4946720.00000000000,53.66460000000,WY,
"17","1","16","0","16",-122.51052157800,45.01477180910,27271.00000000000,"2013",Clackamas,"1900","76",106.30050000000,110.56560000000,"11079",M4226,"112",,06S-02E-25,,,0.00000000000,538225.00000000000,4984670.00000000000,110.56600000000,WY,
"18","1","17","0","17",-122.63511856700,44.61968290520,10379.00000000000,"0",Snowpeak,"2450","60",60.10090000000,63.84310000000,"20538",,"114",,"11S-01E-12, 13",,,0.00000000000,529421.00000000000,4940880.00000000000,63.84330000000,WY,
"19","1","18","0","18",-122.65290979800,44.61805492440,10370.00000000000,"2015",Snowpeak,"2050","58",124.46240000000,127.00180000000,"20565",K5212,"124",,11S-01E-14,,,0.00000000000,527713.00000000000,4940400.00000000000,127.00200000000,WY,
"20","1","19","0","19",-122.63844868800,44.61413442810,10140.00000000000,"2015",Snowpeak,"2350","62",119.65180000000,126.54690000000,"20536",K5209,"119",,11S-01E-13,,,0.00000000000,529160.00000000000,4939970.00000000000,126.54700000000,WY,
