Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
PB,CL,33689,1,0,0,0
PB,CL,33754,1,0,0,0
PB,CL,33810,1,1,0,0
PB,CL,34007,1,0,0,0
PB,CL,34017,1,0,0,0
BLM,SP,35466,1,0,0,0
PB,CL,408143,1,0,0,0
PB,CL,408161,1,0,1,*
PB,CL,408162,1,*,*,*
PB,CL,408178,1,0,0,0
PB,CL,408180,1,*,*,*
ODF,SP,12407C,1,0,0,0
ODF,SP,12407T,1,0,0,0
BLM,CL,9757,2,0,0,0
WY,CL,10078,2,0,0,0
WY,CL,10153,2,0,0,0
WY,CL,10185,2,0,0,0
BLM,CL,10302,2,0,0,0
WY,CL,10399,2,0,0,0
BLM,CL,10439,2,0,0,0
WY,CL,10444,2,*,*,*
WY,CL,10467,2,0,0,0
WY,CL,10482,2,0,0,0
WY,CL,10488,2,0,0,0
WY,CL,10498,2,0,0,0
WY,CL,10506,2,0,0,0
WY,CL,10553,2,*,*,*
WY,CL,10597,2,0,0,0
WY,CL,10711,2,0,0,0
WY,CL,10963,2,0,0,0
WY,CL,10965,2,0,0,0
WY,CL,10968,2,*,*,*
WY,CL,11079,2,0,0,0
BLM,CL,12213,2,0,1,*
BLM,CL,12239,2,0,0,0
ODF,SP,12362,2,0,0,0
ODF,SP,12364,2,0,0,0
ODF,SP,12605,2,0,0,0
ODF,SP,12638,2,0,0,0
BLM,CL,13924,2,0,0,0
BLM,CL,15562,2,0,0,0
BLM,CL,16804,2,0,0,1
WY,SP,20031,2,0,0,0
WY,SP,20039,2,0,0,0
WY,SP,20053,2,*,*,*
WY,SP,20088,2,0,0,0
WY,SP,20090,2,0,0,0
WY,SP,20194,2,*,*,*
WY,SP,20232,2,0,0,0
WY,SP,20236,2,0,1,*
WY,SP,20237,2,0,0,0
WY,SP,20281,2,0,0,0
WY,SP,20283,2,0,0,0
WY,SP,20288,2,0,0,0
WY,SP,20291,2,*,*,*
WY,SP,20360,2,0,0,0
WY,SP,20361,2,0,0,0
WY,SP,20497,2,0,0,0
WY,SP,20535,2,0,0,0
WY,SP,20536,2,0,0,0
WY,SP,20538,2,0,0,0
WY,SP,20540,2,0,0,0
WY,SP,20543,2,0,0,0
WY,SP,20550,2,0,0,0
WY,SP,20560,2,0,0,0
WY,SP,20565,2,0,0,0
WY,SP,20571,2,0,0,0
WY,SP,20600,2,1,0,0
WY,SP,20616,2,0,0,0
WY,SP,20626,2,0,1,*
WY,SP,20666,2,2,0,0
WY,SP,20698,2,1,0,0
WY,SP,20818,2,0,0,0
WY,SP,21019,2,0,0,0
WY,SP,21026,2,0,0,0
WY,SP,21029,2,0,0,0
WY,SP,21159,2,*,*,*
WY,SP,21213,2,*,*,*
BLM,SP,25954,2,0,0,0
BLM,SP,29121,2,0,1,0
BLM,SP,29122,2,1,0,*
BLM,SP,29123,2,0,0,0
BLM,SP,29429,2,0,1,*
BLM,SP,29431,2,0,0,0
BLM,SP,29889,2,0,0,0
PB,CL,33554,2,0,0,0
PB,CL,33628,2,0,0,0
PB,CL,33651,2,0,0,0
PB,CL,33689,2,0,1,0
PB,CL,33754,2,1,0,*
PB,CL,33810,2,0,0,0
PB,CL,34007,2,0,0,0
PB,CL,34017,2,0,0,0
BLM,SP,35466,2,1,0,1
PB,CL,408143,2,0,0,0
PB,CL,408161,2,0,1,0
PB,CL,408162,2,*,*,*
PB,CL,408178,2,0,0,0
PB,CL,408180,2,*,*,*
ODF,SP,12407C,2,0,0,0
ODF,SP,12407T,2,0,0,0
BLM,CL,9757,3,0,0,0
WY,CL,10078,3,0,0,0
WY,CL,10153,3,0,0,0
WY,CL,10185,3,0,0,0
