Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
WY,SP,20291,2,0,0,0
WY,SP,20360,2,0,0,0
WY,SP,20361,2,0,0,0
WY,SP,20535,2,1,0,0
WY,SP,20536,2,0,0,0
WY,SP,20538,2,1,0,0
WY,SP,20540,2,0,0,0
WY,SP,20543,2,0,0,1
WY,SP,20550,2,0,0,0
WY,SP,20560,2,0,1,0
WY,SP,20565,2,0,0,0
WY,SP,20571,2,0,0,0
WY,SP,20600,2,0,0,0
WY,SP,20616,2,0,0,0
WY,SP,20666,2,,,
WY,SP,20698,2,0,0,0
WY,SP,20818,2,0,0,0
WY,SP,21019,2,,,
WY,SP,21026,2,0,0,0
WY,SP,21029,2,0,0,0
WY,SP,21159,2,0,0,0
WY,SP,21213,2,0,0,0
PBTF,CL,33554,2,,,
PBTF,CL,33628,2,0,0,0
PBTF,CL,33651,2,0,0,0
PBTF,CL,33689,2,0,0,0
PBTF,CL,33754,2,,,
PBTF,CL,33810,2,0,0,0
PBTF,CL,34007,2,0,0,0
PBTF,CL,34017,2,1,0,0
PBTF,CL,408143,2,0,0,0
PBTF,CL,408161,2,0,0,0
PBTF,CL,408162,2,0,0,0
PBTF,CL,408178,2,,,
PBTF,CL,408180,2,0,0,0
ODF,SP,12407C,2,0,0,0
ODF,SP,12407T,2,0,0,0
WY,CL,10078,3,0,0,0
WY,CL,10185,3,0,0,0
WY,CL,10399,3,,,
WY,CL,10444,3,0,0,0
WY,CL,10467,3,,,
WY,CL,10482,3,0,0,0
WY,CL,10488,3,0,0,0
WY,CL,10498,3,0,0,0
WY,CL,10506,3,0,0,0
WY,CL,10553,3,0,0,0
WY,CL,10597,3,0,0,0
WY,CL,10711,3,0,0,0
WY,CL,10963,3,0,0,0
WY,CL,10965,3,0,0,0
WY,CL,10968,3,0,0,0
WY,CL,11079,3,,,
ODF,SP,12362,3,0,0,0
ODF,SP,12364,3,0,0,0
ODF,SP,12605,3,1,0,0
ODF,SP,12638,3,0,0,0
WY,SP,20031,3,,,
WY,SP,20088,3,,,
WY,SP,20090,3,,,
WY,SP,20232,3,0,0,0
WY,SP,20236,3,0,0,1
WY,SP,20237,3,0,0,0
WY,SP,20281,3,,,
WY,SP,20283,3,0,1,1
WY,SP,20288,3,0,0,0
WY,SP,20291,3,0,0,0
WY,SP,20360,3,0,0,0
WY,SP,20361,3,1,0,0
WY,SP,20535,3,0,0,0
WY,SP,20536,3,0,0,0
WY,SP,20538,3,0,0,0
WY,SP,20540,3,1,0,0
WY,SP,20543,3,0,1,
WY,SP,20550,3,0,0,0
WY,SP,20560,3,0,0,0
WY,SP,20565,3,0,1,0
WY,SP,20571,3,0,1,0
WY,SP,20600,3,0,0,0
WY,SP,20616,3,0,0,0
WY,SP,20666,3,,,
WY,SP,20698,3,0,0,0
WY,SP,20818,3,0,0,0
WY,SP,21019,3,,,
WY,SP,21026,3,0,0,0
WY,SP,21029,3,0,0,0
WY,SP,21159,3,1,0,0
WY,SP,21213,3,0,0,0
PBTF,CL,33554,3,,,
PBTF,CL,33628,3,0,0,0
PBTF,CL,33651,3,0,0,0
PBTF,CL,33689,3,0,1,0
PBTF,CL,33754,3,,,
PBTF,CL,33810,3,0,0,0
PBTF,CL,34007,3,0,0,0
PBTF,CL,34017,3,0,0,0
PBTF,CL,408143,3,0,0,0
PBTF,CL,408161,3,0,0,0
PBTF,CL,408162,3,0,1,0
PBTF,CL,408178,3,,,
PBTF,CL,408180,3,0,0,0
ODF,SP,12407C,3,0,0,0
ODF,SP,12407T,3,0,0,0
WY,CL,10078,4,0,0,0
WY,CL,10185,4,0,0,1
WY,CL,10399,4,,,
WY,CL,10444,4,0,0,0
WY,CL,10467,4,,,
WY,CL,10482,4,0,0,0
WY,CL,10488,4,0,0,0
WY,CL,10498,4,0,0,0
WY,CL,10506,4,0,0,0
WY,CL,10553,4,0,0,0
WY,CL,10597,4,0,0,0
WY,CL,10711,4,0,0,0
WY,CL,10963,4,0,0,0
WY,CL,10965,4,0,0,0
WY,CL,10968,4,0,0,0
WY,CL,11079,4,,,
ODF,SP,12362,4,0,0,0
ODF,SP,12364,4,0,0,0
ODF,SP,12605,4,0,0,0
ODF,SP,12638,4,1,0,0
WY,SP,20031,4,,,
WY,SP,20088,4,,,
WY,SP,20090,4,,,
WY,SP,20232,4,0,0,0
WY,SP,20236,4,0,0,0
WY,SP,20237,4,0,0,0
WY,SP,20281,4,,,
WY,SP,20283,4,0,0,0
WY,SP,20288,4,0,0,0
WY,SP,20291,4,0,0,0
WY,SP,20360,4,0,0,0
WY,SP,20361,4,0,0,0
WY,SP,20535,4,0,0,0
WY,SP,20536,4,0,0,0
WY,SP,20538,4,0,0,0
WY,SP,20540,4,0,0,0
